"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize",46006,811135721373,17631085,84.57366255255324
"hipMemcpyHtoD",129657,65143372924,502428,6.792221688725273
"hipDeviceSynchronize",70298,51844510943,737496,5.405606063401497
"hipMemcpyDtoH",14164,27882098118,1968518,2.9071474666377637
"hipMalloc",130038,1216021395,9351,0.126789365093345
"hipFree",130036,997180014,7668,0.10397170755275476
"hipStreamCreate",1,443005506,443005506,0.04619029489904332
"hipExtModuleLaunchKernel",70298,211029340,3001,0.022003129340226482
"hipModuleLaunchKernel",28434,126360989,4444,0.01317512145242901
"hipModuleLoadData",5,81053058,16210611,0.008451056704223586
"hipModuleUnload",4,6689639,1672409,0.0006975001303440712
"hipGetDeviceProperties",155,234330,1511,2.443258979199419e-05
"hipMemGetInfo",152,206538,1358,2.1534836471893894e-05
"hipGetDevice",153,125280,818,1.3062411339312217e-05
"hipModuleGetFunction",47,119629,2545,1.247320566818791e-05
"hipHostMalloc",1,87075,87075,9.078938915793514e-06
"hipFuncGetAttribute",56,12015,214,1.2527528116366244e-06
"hipEventCreate",34,5129,150,5.347789572105074e-07
"hipModuleGetGlobal",8,3927,490,4.0945154317911146e-07
"hipRuntimeGetVersion",1,3587,3587,3.740011931203139e-07
"hipFuncSetCacheConfig",28,2926,104,3.0508154197659284e-07
"hipDeviceGetAttribute",1,2855,2855,2.976786747584322e-07
"hipPointerGetAttributes",1,1303,1303,1.3585825331356817e-07
"hipDeviceComputeCapability",1,591,591,6.162104966102746e-08
"hipDeviceGet",2,410,205,4.274895154149114e-08
"hipDeviceGetName",1,371,371,3.8682587858276126e-08
"hipGetDeviceCount",2,181,90,1.887209811953633e-08
