"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"gpu_tdhf_apb_j06_pppp_$ck_L649_31",64,174658561943,2729040030,20.299228486850264
"gpu_tdhf_apb_j05_ppps_$ck_L542_25",64,168409506564,2631398540,19.57294858648844
"gpu_tdhf_amb_j05_ppps_$ck_L542_25",65,128386533803,1975177443,14.921384645044432
"gpu_tdhf_amb_j06_pppp_$ck_L649_31",65,123264731338,1896380482,14.326116727199796
"gpu_rhf_j05_ppps_$ck_L573_25",882,45199388675,51246472,5.253179162663715
"gpu_rhf_j06_pppp_$ck_L682_31",882,35204111464,39913958,4.091504558004414
"Cijk_Alik_Bljk_DB_MT128x128x16_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRVW2_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA4_LPB4_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC3_NTD3_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS256_SCIUI1_SPO1_SRVW0_SSO4_SVW2_SNLL0_TT2_128_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM5",9415,26116290166,2773902,3.035296611920614
"gpu_cphf_j05_ppps_$ck_L539_25",9,24153852906,2683761434,2.8072175421705214
"gpu_cphf_j06_pppp_$ck_L645_31",9,24018206245,2668689582,2.791452368482581
"Cijk_Ailk_Bljk_DB_MT64x64x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS4_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_32_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM11",10731,17874461644,1665684,2.077411934202285
"gpu_tdhf_apb_j03_ppss_$ck_L312_13",64,14821750167,231589846,1.7226186329939743
"rimp2_eng_tail_$ck_L3345_31",9108,10456778015,1148087,1.2153113125483668
"gpu_tdhf_amb_j04_psps_$ck_L420_19",65,9526741323,146565251,1.1072202627765064
"gpu_tdhf_apb_j04_psps_$ck_L421_19",64,9464182637,147877853,1.099949545287343
"gpu_rhf_j04_psps_$ck_L445_19",882,9166418959,10392765,1.0653427509363194
"gpu_rhf_j02_psss_$ck_L207_7",882,8335784857,9451003,0.9688045037533936
"gpu_rhf_j03_ppss_$ck_L331_13",882,6722547510,7621935,0.7813102684524048
"rimp2_b32_transpose_$ck_L1934_15_cce$noloop$form",9108,2779018395,305118,0.32298404808620257
"gpu_rhf_j01_ssss_$ck_L74_1",882,2698623870,3059664,0.31364040747727906
"gpu_tdhf_apb_j02_psss_$ck_L190_7",64,2658683346,41541927,0.308998425924579
"gpu_cphf_j03_ppss_$ck_L310_13",9,2404309592,267145510,0.27943451049975726
"rimp2_eng_head_$ck_L3294_23",2049,2292607407,1118890,0.26645222007797187
"Cijk_Alik_Bjlk_DB_MT64x16x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUASB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU0_SUM0_SUS0_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_4_1_WGM11",47908,2265174724,47281,0.2632639291975851
"Cijk_Alik_Bljk_DB_MT64x16x16_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUASB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_4_1_WGM5",837,1876531311,2241972,0.21809487849298267
"gpu_tdhf_amb_j03_ppss_$ck_L311_13",65,1652587071,25424416,0.19206755268940948
"Cijk_Alik_Bljk_DB_MT128x128x16_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRVW2_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA4_LPB4_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV1_MDA2_NTC3_NTD3_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS256_SCIUI1_SPO1_SRVW0_SSO4_SVW2_SNLL0_TT2_128_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM5",905,1630894478,1802093,0.1895463885570553
"gpu_cphf_j04_psps_$ck_L418_19",9,1319678828,146630980,0.15337617441035162
"Cijk_Ailk_Bljk_DB_MT64x64x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS4_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU0_SUM0_SUS0_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_32_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM11",426,876789730,2058191,0.10190256272694034
"rimp2_vdx_i32_cublas_$ck_L1051_1_cce$noloop$form",2049,624264005,304667,0.07255342957505159
"Cijk_Alik_Bljk_DB_MT128x128x16_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRVW2_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA4_LPB4_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV1_MDA2_NTC3_NTD3_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO4_SVW2_SNLL0_TT2_128_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM11",76,593013666,7802811,0.06892144174350429
"gpu_cphf_j02_psss_$ck_L189_7",9,417584917,46398324,0.048532700307081234
"gpu_tdhf_amb_j02_psss_$ck_L189_7",65,415384570,6390531,0.048276970808301026
"gpu_tdhf_apb_j01_ssss_$ck_L65_1",64,67433716,1053651,0.007837304931252651
"gpu_tdhf_amb_j01_ssss_$ck_L65_1",65,58399593,898455,0.006787337927544254
"gpu_cphf_j01_ssss_$ck_L65_1",9,8877955,986439,0.0010318167917802296
